,reviews,date,verified,corpus
10,"We had flown in from Dubai to Nairobi on Business class and it was good. Hence on our way back I decided to upgrade and fly business class, expecting the same. It was the biggest mistake in my life. The so called business class was just close to the premium economy of most other airlines. Seats had some push back and that's it. The leg extender was stuck and won't extend. Cabin crew said they were helpless - they didn't even try to see if it can be worked. I had to spend the entire flight sitting upright cos without the leg extender to support, I was slipping down if I reclined the seat. Horrible experience and to top it all there event wasn't a TV on the 5 hour 20 minute flight. Cabin crew said that this aircraft only has so much facility and they were looking at each other and smiling when they heard that I actually upgraded to business class. I would like to know how I can claim a refund. Where and how can I escalate this matter to. I sent a dm on Twitter to the airline which they haven't responded. Such daylight robbery must not be permitted. This isn't the upgrade we pay for. I am going to share my horrible experience on all social media channels. Interestingly I have not received any survey about my flight experience, which they promptly send. Never flying Kenya Airways again.",2023-07-06,True,flown dubai nairobi business class good hence way back decided upgrade fly business class expecting biggest mistake life called business class close premium economy airline seat push back leg extender stuck extend cabin crew said helpless even try see worked spend entire flight sitting upright co without leg extender support slipping reclined seat horrible experience top event tv hour minute flight cabin crew said aircraft much facility looking smiling heard actually upgraded business class would like know claim refund escalate matter sent dm twitter airline responded daylight robbery must permitted upgrade pay going share horrible experience social medium channel interestingly received survey flight experience promptly send never flying kenya airway
11,"One of the worst airlines I travelled on. KQ765 delayed out of JHB with no reason given only left at 02:30 on Sunday morning 25 June in stead of 01:15. Missed our connection flight out of Nairobi to Zanzibar. Ground staff made us wait for 3 hours before we got any assistance in Nairobi. Eventually got a Precision flight to Zanzibar after we had to fight the staff for seats. We were assured that the flight will have our baggage on it as it was scheduled to leave 3 hours after we got our seats. When we arrived in Zanzibar we had no baggage and the ground staff was rude saying it was not their fault we did not have our baggage and that it would be at the Zanzibar airport on Sunday evening with the next flight and if we want it we can come fetch it then. We where on honeymoon and our Hotel is 1 hour 20min away from the airport, as we booked a all inclusive package which included our transfer to and from the hotel, we had no means to get back to the airport to collect our bags. We requested that they please deliver the bags to the hotel. Ground staff said they can only deliver on Monday morning. When we asked for compensation to get some necessities like toothbrush and clean clothes, as we had no clothes or toiletries and had a dinner reservation for Sunday evening, we were told it is not their problem nor their fault our baggage did not arrive and they rushed us out of their office. Needless to say we did not receive our baggage that evening. Monday morning 26 June I phoned the lost baggage office and was told the delivery will only start work at around 10:00 and would need to make a few stops before he gets to us. We ended up getting our baggage at 15:00 Monday afternoon. Missing the whole Sunday and most of Monday of our vacation because of having no clothes.",2023-07-04,True,one worst airline travelled kq delayed jhb reason given left sunday morning june stead missed connection flight nairobi zanzibar ground staff made u wait hour got assistance nairobi eventually got precision flight zanzibar fight staff seat assured flight baggage scheduled leave hour got seat arrived zanzibar baggage ground staff rude saying fault baggage would zanzibar airport sunday evening next flight want come fetch honeymoon hotel hour min away airport booked inclusive package included transfer hotel mean get back airport collect bag requested please deliver bag hotel ground staff said deliver monday morning asked compensation get necessity like toothbrush clean clothes clothes toiletry dinner reservation sunday evening told problem fault baggage arrive rushed u office needle say receive baggage evening monday morning june phoned lost baggage office told delivery start work around would need make stop get u ended getting baggage monday afternoon missing whole sunday monday vacation clothes
12,"No where near does this airline come to being called the pride of Africa, it has made us as Kenyans embarrassed. The flight itself delayed for over 4 hours with no valid explanation nor any compensations. No regrets no apologies. The cabin crew are probably the rudest you'll ever come across as if they are doing you a favor. No courtesy and concerns for the three infants and 1 elderly I was traveling with on the contrary we were begging for the very basics and still not provided, like infant food! Inspire of pre-arranged meals non of my infants got the baby meals. The aircraft they are using is not for long distance international flights as the seats are extremely compact and zero legroom. We came out of the flight tired and exhausted as if we had been in war. Ground crew at both the airports equally the same and no sense of responsibility. Check in experience, 1.5 hours just to check in my family of 5 adults and 3 babies. How in the world can you explain this? Cabin smells stale from previous flight and nothing fresh. This is the worst airline I've ever travelled in.",2023-07-03,True,near airline come called pride africa made u kenyan embarrassed flight delayed hour valid explanation compensation regret apology cabin crew probably rudest ever come across favor courtesy concern three infant elderly traveling contrary begging basic still provided like infant food inspire pre arranged meal non infant got baby meal aircraft using long distance international flight seat extremely compact zero legroom came flight tired exhausted war ground crew airport equally sense responsibility check experience hour check family adult baby world explain cabin smell stale previous flight nothing fresh worst airline ever travelled
13,"Not Verified |  Never use this airline, original flight had a 2 hour layover. It was canceled and the new flight had a 8+ hour layover. Nowhere comfortable to sit as the don't give you access to the Pride Lounge but only a food voucher with no food selection but a set meal. Staff have a terrible attitude and not bothered to help. I will never use this Kenya Airways again.",2023-07-01,False,verified never use airline original flight hour layover canceled new flight hour layover nowhere comfortable sit give access pride lounge food voucher food selection set meal staff terrible attitude bothered help never use kenya airway
14,"Not Verified |  The flight on return journey was excellent. A sumptuous fish menu provided on my return yesterday. Staff are caring and lovely to talk to. I watched a cookery show and learnt a recipe on flight. Also a construction show though took it off half way due to the swearing. There wasn't much to watch for me but I left happy learning a potato recipe from South Africa. A bit of a delay in Nairobi for an hour but as I was on holiday it didn't spoil any plans. I spoke to a lady going to USA and she was given accommodation for missing connecting flight. So not so bad. My issue seems mild but one that all schools are aware of in London. We had a nut snack and I did hope that those with nut allergies where considered. At my children's 3 schools, we simply remove nuts from children packed lunch or school dinners and from view as some people get very bad allergies. Maybe it was the type of nuts served but I was surprised to see nuts on the menu.",2023-06-30,False,verified flight return journey excellent sumptuous fish menu provided return yesterday staff caring lovely talk watched cookery show learnt recipe flight also construction show though took half way due swearing much watch left happy learning potato recipe south africa bit delay nairobi hour holiday spoil plan spoke lady going usa given accommodation missing connecting flight bad issue seems mild one school aware london nut snack hope nut allergy considered child school simply remove nut child packed lunch school dinner view people get bad allergy maybe type nut served surprised see nut menu
15,"Not Verified | My family of 4 people had booked to fly from Glasgow to Nairobi thru Amsterdam on 26 th June 2023. As they were preparing to fly, they received a message that the flight from Glasgow to Amsterdam is cancelled. Thus the re-booking is done for 2 people on 26 th and the other 2 on 27 th June. That would have messed all our onward plans. As today is a Sunday, we never got any response from the agent in Scotland who booked the tickets. As a last resort, with a prejudiced mind that I am just gambling, I called Kenya Airways number. The response I received was absolutely amazing. We got re-booking from Edinburgh to Amsterdam to reach Nairobi as planned earlier. I am really thankful.",2023-06-25,False,verified family people booked fly glasgow nairobi thru amsterdam th june preparing fly received message flight glasgow amsterdam cancelled thus booking done people th th june would messed onward plan today sunday never got response agent scotland booked ticket last resort prejudiced mind gambling called kenya airway number response received absolutely amazing got booking edinburgh amsterdam reach nairobi planned earlier really thankful
16,"Not Verified |  I had booked a return flight from Copenhagen to Mombasa and back. Unfortunately I missed my connecting flight going to Mombasa. I booked another flight to Mombasa and I immediately contacted Kenya Airways customer support to find a solution for my return flight. I wrote and called them for a week before I heard back from Kenya Airways. Fortunately the reply was (in writing) that my return ticket was confirmed. When I went to Mombasa airport to fly back they could not find my ticket. I showed them the email with the confirmation and the Kenya Airways lady in Mombasa agreed that it said my ticket was confirmed. Head office refused to let me onboard unless I purchased a new ticket. I did so to come home to my family and I was advised to contact customer service when I got back to get my money back. Then followed several months where I have been writing with Kenya Airways Customer Support. All sort of excuses came up claiming I had the wrong visa, to me being a student and other lies. Finally they concluded that in reality I had not purchased a new ticket, instead I had paid a penalty fee for missing my original flight. I then provided Kenya Airways with a copy of my receipt from Mombasa airport that clearly states that I had to my a new ticket. Since then Kenya Airways have ignored my emails. I am really shocked how Kenya Airways has tried to avoid taking responsibility and done so by lying, bullying and inventing stories to make me drop my claim. I followed every procedure the moment I missed my plane and I truly trusted and believed Kenya Airways when they wrote me that my ticket was confirmed. The lesson learned is apparently that you cannot trust Kenya Airways.",2023-06-20,False,verified booked return flight copenhagen mombasa back unfortunately missed connecting flight going mombasa booked another flight mombasa immediately contacted kenya airway customer support find solution return flight wrote called week heard back kenya airway fortunately reply writing return ticket confirmed went mombasa airport fly back could find ticket showed email confirmation kenya airway lady mombasa agreed said ticket confirmed head office refused let onboard unless purchased new ticket come home family advised contact customer service got back get money back followed several month writing kenya airway customer support sort excuse came claiming wrong visa student lie finally concluded reality purchased new ticket instead paid penalty fee missing original flight provided kenya airway copy receipt mombasa airport clearly state new ticket since kenya airway ignored email really shocked kenya airway tried avoid taking responsibility done lying bullying inventing story make drop claim followed every procedure moment missed plane truly trusted believed kenya airway wrote ticket confirmed lesson learned apparently cannot trust kenya airway
17,"I have been flying with Kenya Airways for the past 6 years, experienced a delay once which was okay but I had the worst experience in May where both trips were a disappointment. First, on the 14th May my Departure was delayed from 6am to 4pm. No apologies nothing, they kept on rescheduling the flight without proper communication. We late boarded Emirates to Nairobi. Again it took us hours to board from Nairobi to Mombasa. I was supposed to arrive at Mombasa 11am on the 14th Sunday but we arrived 2am on the 15th Monday.Worst scenario was on 28th May, my flight was scheduled at 8:45pm to Nairobi then connecting flight at 11.45pm.I arrived on time waited on the queue reaching the counter am told my flight was rescheduled to 7pm! On the screen I could see clearly my flight displayed at 8:45pm.Seriously ! Without even sending a notification, remember while booking phone number and email address is always part of the reservation details. The staff showed no remorse and asked me to check with reservation team. I walked politely to KQ office. I was so shocked when the reservation agent told me that my ticket is not valid ,that it's just a paper - so from changing the time to my ticket being void. This was the worst respond ever! Kenya airways staff lie a lot. He even told me that they tried to send a notification of which he wasn't sure. After insisting for a whole one hour, a supervisor later checked me in and I boarded the 8:45pm flight they booked me a hotel in Nairobi and I had to board my flight at 5pm.I missed my reporting day at work .It was my last time boarding Kenya airways Such a shame.",2023-06-08,True,flying kenya airway past year experienced delay okay worst experience may trip disappointment first th may departure delayed pm apology nothing kept rescheduling flight without proper communication late boarded emirate nairobi took u hour board nairobi mombasa supposed arrive mombasa th sunday arrived th monday worst scenario th may flight scheduled pm nairobi connecting flight pm arrived time waited queue reaching counter told flight rescheduled pm screen could see clearly flight displayed pm seriously without even sending notification remember booking phone number email address always part reservation detail staff showed remorse asked check reservation team walked politely kq office shocked reservation agent told ticket valid paper changing time ticket void worst respond ever kenya airway staff lie lot even told tried send notification sure insisting whole one hour supervisor later checked boarded pm flight booked hotel nairobi board flight pm missed reporting day work last time boarding kenya airway shame
18,"At a time when many airlines are improving their product, Kenya Airways appears to be going in the opposite direction. Getting onto the aircraft in Nairobi was chaotic with no priority given to business passengers – for the airline ‘Sky Priority’ means nothing. From the boarding gate we then went on a long bus journey around the airport before returning to part of the terminal to climb up stairs to get onto the aircraft. Although the cabin crew were very pleasant and offered a pre-flight drink (champagne, water or apple juice) no more drinks were served until after the meal arrived. This was a total disappointment with my beef option consisting of two small pieces of beef, some sauce and a mini samosa. It was complemented with a glass of wine in a thimble-sized glass which was only refilled when we asked the crew. One of the mysteries of the flight was why the lavatory at the front of the aircraft permanently had an engaged light on. When we asked we were told that the captain had said that it was ‘reserved for the crew and passengers could not use it’. Another mystery was a man who spent the entire flight sat on the crew jumpseat in the middle of the business section. I asked him what he was doing and he explained that the crew ‘could not find me anywhere to sit’. Given that airlines flying into the UK have a legal obligation to provide advance passenger information 24-hours before arrival it would be interesting to know how this requirement was met. Although the aircraft was clean and the flight was smooth, Kenya Airways’ 787 are let down by their old-style side-by-side seating which was worn and, in some cases, not functioning properly. The fact that the flight was full suggests that the airline has no problem selling tickets and therefore little incentive to improve its product.",2023-06-03,True,time many airline improving product kenya airway appears going opposite direction getting onto aircraft nairobi chaotic priority given business passenger airline sky priority mean nothing boarding gate went long bus journey around airport returning part terminal climb stair get onto aircraft although cabin crew pleasant offered pre flight drink champagne water apple juice drink served meal arrived total disappointment beef option consisting two small piece beef sauce mini samosa complemented glass wine thimble sized glass refilled asked crew one mystery flight lavatory front aircraft permanently engaged light asked told captain said reserved crew passenger could use another mystery man spent entire flight sat crew jumpseat middle business section asked explained crew could find anywhere sit given airline flying uk legal obligation provide advance passenger information hour arrival would interesting know requirement met although aircraft clean flight smooth kenya airway let old style side side seating worn case functioning properly fact flight full suggests airline problem selling ticket therefore little incentive improve product
19,This is a bad airline. I travelled with Kenya airways on the 20th of May 2023 and now is the 26 May 2023 and l haven't received my bag. I was told the bags were left in Kenya. I have made several phone calls to Zimbabwe and also here l have visited their office in Dubai they are not giving mey bag. This is my last time to travel with Kenya airways.,2023-05-26,True,bad airline travelled kenya airway th may may l received bag told bag left kenya made several phone call zimbabwe also l visited office dubai giving mey bag last time travel kenya airway
20,"Missed outward leg of a return flight, due to issue with KA website. Accepted loss here, though honestly feel website more than 50% responsible. Problem was return leg automatically cancelled. Engaged from two weeks before flight with what is inexplicably called 'customer support' and still had to pay again at the last minute to get a flight back to Nairobi. Total loss considerably more than the original return flight total. Sent at least 8 messages to customer support. Initial replies reassuring and seemed to offer resolution, but nothing happened. Reassurances turned out to be misleading and the information I needed was never offered. Customer service agents, while courteous and polite, seem to assume that customers will have an understanding of the rules and practices of the dystopian KA universe. No useful information is provided. It also appears that agents do not have the authority to actually resolve anything. Therefore, they do not really engage with an issue, but dole out meaningless bland reassurances. To get a flight, it required a very long and expensive phone call with an agent who had to constantly refer to a supervisor. Thankfully there are alternatives to KA, both externally and internally.",2023-04-30,True,missed outward leg return flight due issue ka website accepted loss though honestly feel website responsible problem return leg automatically cancelled engaged two week flight inexplicably called customer support still pay last minute get flight back nairobi total loss considerably original return flight total sent least message customer support initial reply reassuring seemed offer resolution nothing happened reassurance turned misleading information needed never offered customer service agent courteous polite seem assume customer understanding rule practice dystopian ka universe useful information provided also appears agent authority actually resolve anything therefore really engage issue dole meaningless bland reassurance get flight required long expensive phone call agent constantly refer supervisor thankfully alternative ka externally internally
21,"Very good flight, excellent crew on board, as was the food and drink. My only gripe is the business class seats could do with an update, but they are comfortable none the less.",2023-04-01,True,good flight excellent crew board food drink gripe business class seat could update comfortable none le
22,"Kigali - Nairobi - Entebbe return 26-27 March 2023. Aircraft were narrowbodies. The first flight was on a B737, while the three remaining flights were on E190’s. All four (short-haul) flights were on time. This was a Mileage Run to retain my Flying Blue gold status as it otherwise was going to expire by end of the month. I was at first travel attempt denied boarding and my ticket was suspended by a junior staff in Kigali. They said, upon liaising with Immigration I Airport, that my reason to travel was not valid. I tried to change purpose, but the damage was done, which forced me to postpone the entire trip. However, later I had the ticket reissued by KQ town office in Kigali, who were professional and committed to help without any payments as it was not a No Show case. They even took over the booking from my travel agent which was effective and great relief avoiding potential additional costs. I even got a much better (and more expensive) itinerary avoiding night-flights though extending my transit lounge stays. While the junior KQ staff in airport should be sacked for denying me boarding, the KQ staff at town office should be praised and rewarded for constructive and expedite provision of resolutions and quick ticket reissue by ignoring and avoiding the OTA. The rescheduled trip went fine in all aspects. Lounge access accommodated prior to all 4 flights, and the lounges are all of good and solid quality. Slept fine in Pride Lounge in Nairobi where I spent an eve and a night. Effective boardings/deboardings by either bus, on foot, or by jetbridge. Onboard, welcome champagne available on all four flights. I had prebooked seat 1A which was given me throughout. I preordered my favorite seafood meals which were delivered and tasty. The sole exception was a morning flight, where they could not manage my seafood, despite it appeared in their flight manuscript; not a big issue, but they apologised. KQ always manage special meals effectively; this is really a perk that not even legacy carriers like Qatar Airways or KLM allows for. The crews on all flights were fine, professional, caring, and in good mood. The food is getting better on these regional flights, and I had my tasty hot mini-meals served throughout. Hot towels provided. Nut mix were provided as snacks provided to assist on drinks, which were served several times. The challenge of my trip was the seemingly unusual turn-around in EBB to which airport staff were confused as I instantly returned to my origin without going landside. They allowed me not to buy a transit visa, and escorted me to transfer security and thereafter negotiated excessive spending time in lounge for me – I was granted full access for 7 hours though the airline agreement was only 3 hours. Onboard, no IFE and no WiFi which is fine for short flights. No luggage/baggage issues. Flying Blue status respected and some SkyPriority entitlements were given. E.g. priority boarding. Recommended. Will fly them again. Would have given 10/10 but have to deduct a bit for denied boarding initially by the junior, incompetent staff member in Kigali airport.",2023-03-29,True,kigali nairobi entebbe return march aircraft narrowbodies first flight b three remaining flight e four short haul flight time mileage run retain flying blue gold status otherwise going expire end month first travel attempt denied boarding ticket suspended junior staff kigali said upon liaising immigration airport reason travel valid tried change purpose damage done forced postpone entire trip however later ticket reissued kq town office kigali professional committed help without payment show case even took booking travel agent effective great relief avoiding potential additional cost even got much better expensive itinerary avoiding night flight though extending transit lounge stay junior kq staff airport sacked denying boarding kq staff town office praised rewarded constructive expedite provision resolution quick ticket reissue ignoring avoiding ota rescheduled trip went fine aspect lounge access accommodated prior flight lounge good solid quality slept fine pride lounge nairobi spent eve night effective boarding deboardings either bus foot jetbridge onboard welcome champagne available four flight prebooked seat given throughout preordered favorite seafood meal delivered tasty sole exception morning flight could manage seafood despite appeared flight manuscript big issue apologised kq always manage special meal effectively really perk even legacy carrier like qatar airway klm allows crew flight fine professional caring good mood food getting better regional flight tasty hot mini meal served throughout hot towel provided nut mix provided snack provided assist drink served several time challenge trip seemingly unusual turn around ebb airport staff confused instantly returned origin without going landside allowed buy transit visa escorted transfer security thereafter negotiated excessive spending time lounge granted full access hour though airline agreement hour onboard ife wifi fine short flight luggage baggage issue flying blue status respected skypriority entitlement given e g priority boarding recommended fly would given deduct bit denied boarding initially junior incompetent staff member kigali airport
23,"This review is regarding Kenya Airways customer service and has nothing to do with the details of a specific flight. Our return to Chicago was cancelled when the KA pilots went on strike. My family of four was left to arrange alternate flight arrangements by ourselves and our travel agent who was back in Chicago. We absolutely received no help from anyone at KA. Finally got economy class tickets with Turkish Air which we took from Nairobi to Istanbul and home to Chicago. Had to pay for those tickets and was told to wait for a refund of the return with KA for our cancelled business class tickets. As it turned out, we had to wait a while for our refund which finally arrived on Feb 27. The refund was issued for almost $1200 each ($4800 for the four of us). While this may sound fair, please consider that we paid a total of $14,647 for our four business class round trip tickets to Nairobi and back. Additionally, we had to pay for our return via Turkish Air at a total of $6356. So the refund represented less than 1/3rd of the cost of the original round trip tickets. We were hoping for some consideration of the cost we incurred with Turkish Air, which ultimately was caused by KA. Following a recommendation from the CEO of KA I was contacted by one of his subordinates. While, I do believe that this individual may have had some impact upon the processing of the refund, I disagreed with him on numerous occasions when he and his staff tried to explain the refund policy to me following disruptions in service. The following is a direct quote from his email to regarding these situations: “In the event of disruptions such as the strike, the airline makes arrangements to carry you at the earliest opportunity on one of our scheduled services or reroute you to the destination shown on the ticket by our own services or those of another carrier at no additional cost to you. Should the alternative flights not be suitable or we are unable to rebook you to an alternate flight, you are entitled to a refund of the value of the unused portion of your tickets.” I contended to him that neither myself nor any member of my family was approached by anyone from KA to reroute us OR that anybody at the KA desk was willing to assist us make alternate flight arrangements. I was particularly incensed when I read the words in red, stating “…at no additional cost to you.” I feel lied to and disrespected by Kenya Airways in their addressing our significant and inconvenient disruption of service. I have found examples of other travelers on our flight similarly affected by the strike who had desk clerks reroute them with no additional out of pocket expenditure. The positive feelings I had about Kenya Airways prior to leaving Africa have been replaced by a lack of trust, a vow to never fly KA again, and to pursue informing all travelers I can to be aware and leery of KA’s management of refunds and its ultimate care and respect for passengers.",2023-03-28,True,review regarding kenya airway customer service nothing detail specific flight return chicago cancelled ka pilot went strike family four left arrange alternate flight arrangement travel agent back chicago absolutely received help anyone ka finally got economy class ticket turkish air took nairobi istanbul home chicago pay ticket told wait refund return ka cancelled business class ticket turned wait refund finally arrived feb refund issued almost four u may sound fair please consider paid total four business class round trip ticket nairobi back additionally pay return via turkish air total refund represented le rd cost original round trip ticket hoping consideration cost incurred turkish air ultimately caused ka following recommendation ceo ka contacted one subordinate believe individual may impact upon processing refund disagreed numerous occasion staff tried explain refund policy following disruption service following direct quote email regarding situation event disruption strike airline make arrangement carry earliest opportunity one scheduled service reroute destination shown ticket service another carrier additional cost alternative flight suitable unable rebook alternate flight entitled refund value unused portion ticket contended neither member family approached anyone ka reroute u anybody ka desk willing assist u make alternate flight arrangement particularly incensed read word red stating additional cost feel lied disrespected kenya airway addressing significant inconvenient disruption service found example traveler flight similarly affected strike desk clerk reroute additional pocket expenditure positive feeling kenya airway prior leaving africa replaced lack trust vow never fly ka pursue informing traveler aware leery ka management refund ultimate care respect passenger
